subject	model_label	fit_response	smoothed		Unnamed: 0	n	fisher_information	condition	log(fisher_information)
1	31	False	True	0	0	10.0	6.035191	narrow	1.797607502764509
1	31	False	True	1	1	11.0	3.7245202	narrow	1.3149380381662714
1	31	False	True	2	2	12.0	1.1176744	narrow	0.11125009796890101
1	31	False	True	3	3	13.0	1.0060501	narrow	0.00603187163035212
1	31	False	True	4	4	14.0	0.46020854	narrow	-0.7760755444039877
1	31	False	True	5	5	15.0	0.19701591	narrow	-1.6244707920838568
1	31	False	True	6	6	16.0	0.15203431	narrow	-1.883649059923408
1	31	False	True	7	7	17.0	0.15652084	narrow	-1.8545661149280293
1	31	False	True	8	8	18.0	0.16860175	narrow	-1.780215853871571
1	31	False	True	9	9	19.0	0.17970707	narrow	-1.7164271426165252
1	31	False	True	10	10	20.0	0.18756227	narrow	-1.6736443820402171
1	31	False	True	11	11	21.0	0.19170304	narrow	-1.6518077709446441
1	31	False	True	12	12	22.0	0.19239171	narrow	-1.6482218289969035
1	31	False	True	13	13	23.0	0.19016266	narrow	-1.6598754678075869
1	31	False	True	14	14	24.0	0.18561181	narrow	-1.6840978291889155
1	31	False	True	15	15	25.0	0.17930451	narrow	-1.7186697453131576
1	31	False	True	16	16	26.0	0.17173928	narrow	-1.7617777661304226
1	31	False	True	17	17	27.0	0.1633367	narrow	-1.8119415645131058
1	31	False	True	18	18	28.0	0.15444031	narrow	-1.8679476003361088
1	31	False	True	19	19	29.0	0.14532328	narrow	-1.928794501005792
1	31	False	True	20	20	30.0	0.13619739	narrow	-1.9936500484459323
1	31	False	True	21	21	31.0	0.1272221	narrow	-2.0618209010291677
1	31	False	True	22	22	32.0	0.11851408	narrow	-2.132723506899917
1	31	False	True	23	23	33.0	0.110155016	narrow	-2.205866668867744
1	31	False	True	24	24	34.0	0.102198936	narrow	-2.2808340122256316
1	31	False	True	25	25	35.0	0.09467819	narrow	-2.3572716115448578
1	31	False	True	26	26	36.0	0.08760855	narrow	-2.4348766830629027
1	31	False	True	27	27	37.0	0.080993176	narrow	-2.513390374772249
1	31	False	True	28	28	38.0	0.07482596	narrow	-2.5925903953891587
1	31	False	True	29	29	39.0	0.06909414	narrow	-2.6722853564355984
1	31	False	True	30	30	40.0	0.063780345	narrow	-2.7523102081956643
1	31	False	True	31	31	10.0	1.2773647	wide	0.24479912750643384
1	31	False	True	32	32	11.0	2.104981	wide	0.7443064409653429
1	31	False	True	33	33	12.0	1.7785025	wide	0.5757717180843278
1	31	False	True	34	34	13.0	0.7239045	wide	-0.3230958013741405
1	31	False	True	35	35	14.0	0.3654817	wide	-1.0065390694452208
1	31	False	True	36	36	15.0	0.460611	wide	-0.7752014099875373
1	31	False	True	37	37	16.0	0.3210476	wide	-1.1361658802411316
1	31	False	True	38	38	17.0	0.1703113	wide	-1.7701273400209558
